event_id,order_id,status,event_timestamp,updated_by,rto_status
EVT00000111,ORD0000018,Shipped,04-05-2026 18:06,Courier Partner,Non-RTO
EVT00000112,ORD0000018,Out for Delivery,08-05-2026 15:06,Courier Partner,Non-RTO
EVT00000113,ORD0000018,Delivered,08-05-2026 18:56,Courier Partner,Non-RTO
EVT00000114,ORD0000019,Order Placed,25-05-2026 20:46,System,Non-RTO
EVT00000115,ORD0000019,Packed,26-05-2026 10:46,Seller Panel,Non-RTO
EVT00000116,ORD0000019,Shipped,27-05-2026 16:46,Courier Partner,Non-RTO
EVT00000117,ORD0000019,Out for Delivery,28-05-2026 13:46,Courier Partner,Non-RTO
EVT00000118,ORD0000019,Delivered,28-05-2026 16:55,Courier Partner,Non-RTO
EVT00000119,ORD0000020,Order Placed,13-02-2026 14:23,System,Non-RTO
EVT00000120,ORD0000020,Packed,14-02-2026 00:23,Seller Panel,Non-RTO
EVT00000121,ORD0000020,Shipped,15-02-2026 02:23,Courier Partner,Non-RTO
EVT00000122,ORD0000020,Out for Delivery,21-02-2026 01:23,Courier Partner,Non-RTO
EVT00000123,ORD0000020,Delivered,21-02-2026 03:00,Courier Partner,Non-RTO
EVT00000124,ORD0000021,Order Placed,13-02-2026 17:47,System,Non-RTO
EVT00000125,ORD0000021,Packed,14-02-2026 12:47,Seller Panel,Non-RTO
EVT00000126,ORD0000021,Shipped,15-02-2026 13:47,Courier Partner,Non-RTO
EVT00000127,ORD0000021,Out for Delivery,20-02-2026 11:47,Courier Partner,Non-RTO
EVT00000128,ORD0000021,Delivery Failed,20-02-2026 14:43,Courier Partner,Non-RTO
EVT00000129,ORD0000021,Out for Delivery,23-02-2026 09:47,Courier Partner,Non-RTO
EVT00000130,ORD0000021,Delivery Failed,23-02-2026 14:33,Courier Partner,Non-RTO
EVT00000131,ORD0000021,RTO Initiated,24-02-2026 16:33,Courier Partner,RTO
EVT00000132,ORD0000021,RTO In Transit,01-03-2026 16:33,Courier Partner,RTO
EVT00000133,ORD0000021,RTO Received at Warehouse,04-03-2026 16:33,Seller Panel,RTO
EVT00000134,ORD0000022,Order Placed,17-02-2026 17:26,System,Non-RTO
EVT00000135,ORD0000022,Packed,18-02-2026 06:26,Seller Panel,Non-RTO
EVT00000136,ORD0000022,Shipped,18-02-2026 15:26,Courier Partner,Non-RTO
EVT00000137,ORD0000022,Out for Delivery,20-02-2026 11:26,Courier Partner,Non-RTO
EVT00000138,ORD0000022,Delivered,20-02-2026 16:49,Courier Partner,Non-RTO
EVT00000139,ORD0000023,Order Placed,04-05-2026 13:34,System,Non-RTO
EVT00000140,ORD0000023,Packed,04-05-2026 20:34,Seller Panel,Non-RTO
EVT00000141,ORD0000023,Shipped,06-05-2026 02:34,Courier Partner,Non-RTO
EVT00000142,ORD0000023,Out for Delivery,09-05-2026 01:34,Courier Partner,Non-RTO
EVT00000143,ORD0000023,Delivered,09-05-2026 02:54,Courier Partner,Non-RTO
EVT00000144,ORD0000024,Order Placed,16-04-2026 22:34,System,Non-RTO
EVT00000145,ORD0000024,Packed,17-04-2026 06:34,Seller Panel,Non-RTO
EVT00000146,ORD0000024,Shipped,18-04-2026 07:34,Courier Partner,Non-RTO
EVT00000147,ORD0000024,Out for Delivery,20-04-2026 06:34,Courier Partner,Non-RTO
EVT00000148,ORD0000024,Delivered,20-04-2026 08:13,Courier Partner,Non-RTO
EVT00000149,ORD0000025,Order Placed,19-04-2026 17:35,System,Non-RTO
EVT00000150,ORD0000025,Packed,20-04-2026 10:35,Seller Panel,Non-RTO
EVT00000151,ORD0000025,Shipped,21-04-2026 02:35,Courier Partner,Non-RTO
EVT00000152,ORD0000025,Out for Delivery,26-04-2026 22:35,Courier Partner,Non-RTO
EVT00000153,ORD0000025,Delivered,27-04-2026 03:54,Courier Partner,Non-RTO
EVT00000154,ORD0000026,Order Placed,12-06-2026 14:29,System,Non-RTO
EVT00000155,ORD0000026,Packed,12-06-2026 18:29,Seller Panel,Non-RTO
EVT00000156,ORD0000026,Shipped,13-06-2026 11:29,Courier Partner,Non-RTO
EVT00000157,ORD0000026,Out for Delivery,21-06-2026 07:29,Courier Partner,Non-RTO
EVT00000158,ORD0000026,Delivery Failed,21-06-2026 12:29,Courier Partner,Non-RTO
EVT00000159,ORD0000026,Out for Delivery,22-06-2026 08:29,Courier Partner,Non-RTO
EVT00000160,ORD0000026,Delivery Failed,22-06-2026 11:55,Courier Partner,Non-RTO
EVT00000161,ORD0000026,Out for Delivery,24-06-2026 09:29,Courier Partner,Non-RTO
EVT00000162,ORD0000026,Delivery Failed,24-06-2026 11:34,Courier Partner,Non-RTO
EVT00000163,ORD0000026,Out for Delivery,26-06-2026 07:29,Courier Partner,Non-RTO
EVT00000164,ORD0000026,Delivery Failed,26-06-2026 12:16,Courier Partner,Non-RTO
EVT00000165,ORD0000026,RTO Initiated,27-06-2026 22:16,Courier Partner,RTO
EVT00000166,ORD0000026,RTO In Transit,29-06-2026 22:16,Courier Partner,RTO
EVT00000167,ORD0000026,RTO Received at Warehouse,30-06-2026 22:16,Seller Panel,RTO
EVT00000168,ORD0000027,Order Placed,15-04-2026 17:13,System,Non-RTO
EVT00000169,ORD0000027,Packed,16-04-2026 02:13,Seller Panel,Non-RTO
EVT00000170,ORD0000027,Shipped,17-04-2026 01:13,Courier Partner,Non-RTO
EVT00000171,ORD0000027,Out for Delivery,23-04-2026 00:13,Courier Partner,Non-RTO
EVT00000172,ORD0000027,Delivered,23-04-2026 02:11,Courier Partner,Non-RTO
EVT00000173,ORD0000028,Order Placed,26-02-2026 18:40,System,Non-RTO
EVT00000174,ORD0000028,Packed,27-02-2026 02:40,Seller Panel,Non-RTO
EVT00000175,ORD0000028,Shipped,27-02-2026 18:40,Courier Partner,Non-RTO
EVT00000176,ORD0000028,Out for Delivery,03-03-2026 15:40,Courier Partner,Non-RTO
EVT00000177,ORD0000028,Delivered,03-03-2026 18:56,Courier Partner,Non-RTO
EVT00000178,ORD0000029,Order Placed,03-02-2026 15:52,System,Non-RTO
EVT00000179,ORD0000029,Packed,03-02-2026 20:52,Seller Panel,Non-RTO
EVT00000180,ORD0000029,Shipped,04-02-2026 07:52,Courier Partner,Non-RTO
EVT00000181,ORD0000029,Out for Delivery,10-02-2026 03:52,Courier Partner,Non-RTO
EVT00000182,ORD0000029,Delivery Failed,10-02-2026 08:05,Courier Partner,Non-RTO
EVT00000183,ORD0000029,Out for Delivery,13-02-2026 03:52,Courier Partner,Non-RTO
EVT00000184,ORD0000029,Delivered,13-02-2026 08:15,Courier Partner,Non-RTO
EVT00000185,ORD0000030,Order Placed,04-07-2026 18:27,System,Non-RTO
EVT00000186,ORD0000030,Packed,05-07-2026 02:27,Seller Panel,Non-RTO
EVT00000187,ORD0000030,Shipped,05-07-2026 10:27,Courier Partner,Non-RTO
EVT00000188,ORD0000030,Out for Delivery,09-07-2026 07:27,Courier Partner,Non-RTO
EVT00000189,ORD0000030,Delivered,09-07-2026 11:44,Courier Partner,Non-RTO
EVT00000190,ORD0000031,Order Placed,01-03-2026 23:11,System,Non-RTO
EVT00000191,ORD0000031,Packed,02-03-2026 05:11,Seller Panel,Non-RTO
EVT00000192,ORD0000031,Shipped,02-03-2026 23:11,Courier Partner,Non-RTO
EVT00000193,ORD0000031,Out for Delivery,07-03-2026 19:11,Courier Partner,Non-RTO
EVT00000194,ORD0000031,Delivered,07-03-2026 23:55,Courier Partner,Non-RTO
EVT00000195,ORD0000032,Order Placed,13-04-2026 15:50,System,Non-RTO
EVT00000196,ORD0000032,Packed,13-04-2026 20:50,Seller Panel,Non-RTO
EVT00000197,ORD0000032,Shipped,14-04-2026 21:50,Courier Partner,Non-RTO
EVT00000198,ORD0000032,Out for Delivery,15-04-2026 20:50,Courier Partner,Non-RTO
EVT00000199,ORD0000032,Delivered,15-04-2026 21:59,Courier Partner,Non-RTO
EVT00000200,ORD0000033,Order Placed,07-07-2026 22:52,System,Non-RTO
EVT00000201,ORD0000033,Packed,08-07-2026 10:52,Seller Panel,Non-RTO
EVT00000202,ORD0000033,Shipped,09-07-2026 10:52,Courier Partner,Non-RTO
EVT00000203,ORD0000033,Out for Delivery,12-07-2026 07:52,Courier Partner,Non-RTO
EVT00000204,ORD0000033,Delivered,12-07-2026 11:19,Courier Partner,Non-RTO
EVT00000205,ORD0000034,Order Placed,03-07-2026 15:02,System,Non-RTO
EVT00000206,ORD0000034,Packed,04-07-2026 11:02,Seller Panel,Non-RTO
EVT00000207,ORD0000034,Shipped,05-07-2026 02:02,Courier Partner,Non-RTO
EVT00000208,ORD0000034,Out for Delivery,07-07-2026 01:02,Courier Partner,Non-RTO
EVT00000209,ORD0000034,Delivered,07-07-2026 03:13,Courier Partner,Non-RTO
EVT00000210,ORD0000035,Order Placed,22-04-2026 23:00,System,Non-RTO
EVT00000211,ORD0000035,Packed,23-04-2026 12:00,Seller Panel,Non-RTO
EVT00000212,ORD0000035,Shipped,24-04-2026 01:00,Courier Partner,Non-RTO
EVT00000213,ORD0000035,Out for Delivery,29-04-2026 22:00,Courier Partner,Non-RTO
EVT00000214,ORD0000035,Delivery Failed,30-04-2026 01:37,Courier Partner,Non-RTO
EVT00000215,ORD0000035,Out for Delivery,02-05-2026 22:00,Courier Partner,Non-RTO
EVT00000216,ORD0000035,Delivered,03-05-2026 02:21,Courier Partner,Non-RTO
EVT00000217,ORD0000036,Order Placed,23-05-2026 23:23,System,Non-RTO
EVT00000218,ORD0000036,Packed,24-05-2026 14:23,Seller Panel,Non-RTO
EVT00000219,ORD0000036,Shipped,25-05-2026 07:23,Courier Partner,Non-RTO
EVT00000220,ORD0000036,Out for Delivery,29-05-2026 03:23,Courier Partner,Non-RTO
EVT00000221,ORD0000036,Delivery Failed,29-05-2026 08:01,Courier Partner,Non-RTO
EVT00000222,ORD0000036,Out for Delivery,31-05-2026 04:23,Courier Partner,Non-RTO
EVT00000223,ORD0000036,Delivery Failed,31-05-2026 07:32,Courier Partner,Non-RTO
EVT00000224,ORD0000036,RTO Initiated,31-05-2026 15:32,Courier Partner,RTO
EVT00000225,ORD0000036,RTO In Transit,05-06-2026 15:32,Courier Partner,RTO
EVT00000226,ORD0000036,RTO Received at Warehouse,06-06-2026 15:32,Seller Panel,RTO
EVT00000227,ORD0000037,Order Placed,01-03-2026 19:16,System,Non-RTO
EVT00000228,ORD0000037,Packed,02-03-2026 14:16,Seller Panel,Non-RTO
EVT00000229,ORD0000037,Shipped,03-03-2026 18:16,Courier Partner,Non-RTO
EVT00000230,ORD0000037,Out for Delivery,04-03-2026 15:16,Courier Partner,Non-RTO
EVT00000231,ORD0000037,Delivered,04-03-2026 18:46,Courier Partner,Non-RTO
EVT00000232,ORD0000038,Order Placed,15-02-2026 23:18,System,Non-RTO
EVT00000233,ORD0000038,Packed,16-02-2026 18:18,Seller Panel,Non-RTO
EVT00000234,ORD0000038,Shipped,17-02-2026 03:18,Courier Partner,Non-RTO
EVT00000235,ORD0000038,Out for Delivery,22-02-2026 00:18,Courier Partner,Non-RTO
EVT00000236,ORD0000038,Delivered,22-02-2026 04:11,Courier Partner,Non-RTO
EVT00000237,ORD0000039,Order Placed,14-02-2026 16:39,System,Non-RTO
EVT00000238,ORD0000039,Packed,15-02-2026 00:39,Seller Panel,Non-RTO
EVT00000239,ORD0000039,Shipped,16-02-2026 00:39,Courier Partner,Non-RTO
EVT00000240,ORD0000039,Out for Delivery,16-02-2026 20:39,Courier Partner,Non-RTO
EVT00000241,ORD0000039,Delivered,17-02-2026 01:11,Courier Partner,Non-RTO
EVT00000242,ORD0000040,Order Placed,22-06-2026 23:11,System,Non-RTO
EVT00000243,ORD0000040,Packed,23-06-2026 18:11,Seller Panel,Non-RTO
EVT00000244,ORD0000040,Shipped,24-06-2026 11:11,Courier Partner,Non-RTO
EVT00000245,ORD0000040,Out for Delivery,29-06-2026 08:11,Courier Partner,Non-RTO
EVT00000246,ORD0000040,Delivery Failed,29-06-2026 12:07,Courier Partner,Non-RTO
EVT00000247,ORD0000040,Out for Delivery,01-07-2026 07:11,Courier Partner,Non-RTO
EVT00000248,ORD0000040,Delivery Failed,01-07-2026 11:40,Courier Partner,Non-RTO
EVT00000249,ORD0000040,Out for Delivery,03-07-2026 08:11,Courier Partner,Non-RTO
EVT00000250,ORD0000040,Delivery Failed,03-07-2026 11:28,Courier Partner,Non-RTO
EVT00000251,ORD0000040,RTO Initiated,04-07-2026 23:28,Courier Partner,RTO
EVT00000252,ORD0000040,RTO In Transit,08-07-2026 23:28,Courier Partner,RTO
EVT00000253,ORD0000040,RTO Received at Warehouse,12-07-2026 23:28,Seller Panel,RTO
EVT00000254,ORD0000041,Order Placed,04-03-2026 19:50,System,Non-RTO
EVT00000255,ORD0000041,Packed,05-03-2026 09:50,Seller Panel,Non-RTO
EVT00000256,ORD0000041,Shipped,06-03-2026 07:50,Courier Partner,Non-RTO
EVT00000257,ORD0000041,Out for Delivery,08-03-2026 05:50,Courier Partner,Non-RTO
EVT00000258,ORD0000041,Delivery Failed,08-03-2026 08:50,Courier Partner,Non-RTO
EVT00000259,ORD0000041,Out for Delivery,11-03-2026 06:50,Courier Partner,Non-RTO
EVT00000260,ORD0000041,Delivered,11-03-2026 09:16,Courier Partner,Non-RTO
EVT00000261,ORD0000042,Order Placed,06-02-2026 16:04,System,Non-RTO
EVT00000262,ORD0000042,Packed,07-02-2026 03:04,Seller Panel,Non-RTO
EVT00000263,ORD0000042,Shipped,08-02-2026 01:04,Courier Partner,Non-RTO
EVT00000264,ORD0000042,Out for Delivery,10-02-2026 22:04,Courier Partner,Non-RTO
EVT00000265,ORD0000042,Delivered,11-02-2026 01:18,Courier Partner,Non-RTO
EVT00000266,ORD0000043,Order Placed,27-03-2026 21:13,System,Non-RTO
EVT00000267,ORD0000043,Packed,28-03-2026 15:13,Seller Panel,Non-RTO
EVT00000268,ORD0000043,Shipped,29-03-2026 06:13,Courier Partner,Non-RTO
EVT00000269,ORD0000043,Out for Delivery,31-03-2026 04:13,Courier Partner,Non-RTO
EVT00000270,ORD0000043,Delivered,31-03-2026 07:01,Courier Partner,Non-RTO
EVT00000271,ORD0000044,Order Placed,22-02-2026 23:44,System,Non-RTO
EVT00000272,ORD0000044,Packed,23-02-2026 09:44,Seller Panel,Non-RTO
EVT00000273,ORD0000044,Shipped,24-02-2026 01:44,Courier Partner,Non-RTO
EVT00000274,ORD0000044,Out for Delivery,28-02-2026 22:44,Courier Partner,Non-RTO
EVT00000275,ORD0000044,Delivered,01-03-2026 02:56,Courier Partner,Non-RTO
EVT00000276,ORD0000045,Order Placed,25-05-2026 16:47,System,Non-RTO
EVT00000277,ORD0000045,Packed,26-05-2026 00:47,Seller Panel,Non-RTO
EVT00000278,ORD0000045,Shipped,26-05-2026 08:47,Courier Partner,Non-RTO
EVT00000279,ORD0000045,Out for Delivery,02-06-2026 04:47,Courier Partner,Non-RTO
EVT00000280,ORD0000045,Delivered,02-06-2026 08:53,Courier Partner,Non-RTO
EVT00000281,ORD0000046,Order Placed,26-03-2026 19:03,System,Non-RTO
EVT00000282,ORD0000046,Packed,27-03-2026 15:03,Seller Panel,Non-RTO
EVT00000283,ORD0000046,Shipped,28-03-2026 21:03,Courier Partner,Non-RTO
EVT00000284,ORD0000046,Out for Delivery,02-04-2026 17:03,Courier Partner,Non-RTO
EVT00000285,ORD0000046,Delivered,02-04-2026 21:22,Courier Partner,Non-RTO
EVT00000286,ORD0000047,Order Placed,20-05-2026 21:11,System,Non-RTO
EVT00000287,ORD0000047,Packed,21-05-2026 04:11,Seller Panel,Non-RTO
EVT00000288,ORD0000047,Shipped,21-05-2026 19:11,Courier Partner,Non-RTO
EVT00000289,ORD0000047,Out for Delivery,23-05-2026 17:11,Courier Partner,Non-RTO
EVT00000290,ORD0000047,Delivery Failed,23-05-2026 20:11,Courier Partner,Non-RTO
EVT00000291,ORD0000047,Out for Delivery,26-05-2026 15:11,Courier Partner,Non-RTO
EVT00000292,ORD0000047,Delivery Failed,26-05-2026 19:52,Courier Partner,Non-RTO
EVT00000293,ORD0000047,Out for Delivery,27-05-2026 17:11,Courier Partner,Non-RTO
EVT00000294,ORD0000047,Delivered,27-05-2026 19:32,Courier Partner,Non-RTO
EVT00000295,ORD0000048,Order Placed,06-04-2026 21:31,System,Non-RTO
EVT00000296,ORD0000048,Packed,07-04-2026 09:31,Seller Panel,Non-RTO
EVT00000297,ORD0000048,Shipped,07-04-2026 20:31,Courier Partner,Non-RTO
EVT00000298,ORD0000048,Out for Delivery,15-04-2026 16:31,Courier Partner,Non-RTO
EVT00000299,ORD0000048,Delivered,15-04-2026 21:02,Courier Partner,Non-RTO
EVT00000300,ORD0000049,Order Placed,11-04-2026 12:11,System,Non-RTO
EVT00000301,ORD0000049,Packed,12-04-2026 08:11,Seller Panel,Non-RTO
EVT00000302,ORD0000049,Shipped,13-04-2026 00:11,Courier Partner,Non-RTO
EVT00000303,ORD0000049,Out for Delivery,20-04-2026 21:11,Courier Partner,Non-RTO
EVT00000304,ORD0000049,Delivered,21-04-2026 01:39,Courier Partner,Non-RTO
EVT00000305,ORD0000050,Order Placed,13-03-2026 12:28,System,Non-RTO
EVT00000306,ORD0000050,Packed,14-03-2026 05:28,Seller Panel,Non-RTO
EVT00000307,ORD0000050,Shipped,15-03-2026 10:28,Courier Partner,Non-RTO
EVT00000308,ORD0000050,Out for Delivery,20-03-2026 09:28,Courier Partner,Non-RTO
EVT00000309,ORD0000050,Delivered,20-03-2026 11:57,Courier Partner,Non-RTO
EVT00000310,ORD0000051,Order Placed,07-07-2026 14:35,System,Non-RTO
EVT00000311,ORD0000051,Packed,08-07-2026 06:35,Seller Panel,Non-RTO
EVT00000312,ORD0000051,Shipped,09-07-2026 05:35,Courier Partner,Non-RTO
EVT00000313,ORD0000051,Out for Delivery,12-07-2026 02:35,Courier Partner,Non-RTO
EVT00000314,ORD0000051,Delivered,12-07-2026 06:20,Courier Partner,Non-RTO
EVT00000315,ORD0000052,Order Placed,04-07-2026 22:47,System,Non-RTO
