attempt_id,order_id,attempt_number,attempt_date_time,attempt_status,remarks,otp_shared
ATT0000052,ORD0000036,2,31-05-2026 07:23,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000053,ORD0000037,1,04-03-2026 18:16,Delivered,Handed To Customer,
ATT0000054,ORD0000038,1,22-02-2026 03:18,Delivered,Delivered Successfully,
ATT0000055,ORD0000039,1,17-02-2026 00:39,Delivered,Delivered Successfully,
ATT0000056,ORD0000040,1,29-06-2026 11:11,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000057,ORD0000040,2,01-07-2026 11:11,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000058,ORD0000040,3,03-07-2026 11:11,Refused - Changed Mind, Customer Said Dont Want It Anymore ,
ATT0000059,ORD0000041,1,08-03-2026 07:50,Out of Delivery Area,"Pin  Not  Fully  Serviceable,  Ofd  Delay",
ATT0000060,ORD0000041,2,11-03-2026 07:50,Delivered,Handed To Customer,
ATT0000061,ORD0000042,1,11-02-2026 01:04,Delivered,N/A,
ATT0000062,ORD0000043,1,31-03-2026 06:13,Delivered,N/A,
ATT0000063,ORD0000044,1,01-03-2026 01:44,Delivered,Delivered Successfully,N
ATT0000064,ORD0000045,1,02-06-2026 08:47,Delivered,"Delivered, Otp Verified",
ATT0000065,ORD0000046,1,02-04-2026 21:03,Delivered,Handed To Customer,
ATT0000066,ORD0000047,1,23-05-2026 19:11,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000067,ORD0000047,2,26-05-2026 19:11,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000068,ORD0000047,3,27-05-2026 19:11,Delivered,Delivered Successfully,
ATT0000069,ORD0000048,1,15-04-2026 20:31,Delivered,N/A,
ATT0000070,ORD0000049,1,21-04-2026 00:11,Delivered,Handed To Customer,
ATT0000071,ORD0000050,1,20-03-2026 10:28,Delivered,Delivered Successfully,
ATT0000072,ORD0000051,1,12-07-2026 05:35,Delivered,N/A,
ATT0000073,ORD0000053,1,23-06-2026 09:56,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000074,ORD0000053,2,24-06-2026 09:56,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000075,ORD0000054,1,30-05-2026 14:51,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000076,ORD0000055,1,01-08-2026 05:29,Delivered,"Delivered, Otp Verified",
ATT0000077,ORD0000056,1,15-03-2026 02:36,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000078,ORD0000056,2,18-03-2026 02:36,Delivered,Delivered Successfully,N
ATT0000079,ORD0000057,1,17-06-2026 21:50,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000080,ORD0000058,1,25-05-2026 12:07,Delivered,Delivered Successfully,
ATT0000081,ORD0000059,1,03-06-2026 11:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000082,ORD0000059,2,05-06-2026 11:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000083,ORD0000060,1,23-03-2026 02:38,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000084,ORD0000060,2,25-03-2026 02:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000085,ORD0000060,3,28-03-2026 02:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000086,ORD0000061,1,21-02-2026 17:24,Delivered,N/A,
ATT0000087,ORD0000062,1,19-06-2026 18:00,Delivered,"Delivered, Otp Verified",
ATT0000088,ORD0000063,1,15-04-2026 14:42,Customer Not Available," Cust Nt Avl, Will Retry Next Day ",
ATT0000089,ORD0000063,2,18-04-2026 14:42,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000090,ORD0000063,3,19-04-2026 14:42,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000091,ORD0000063,4,22-04-2026 14:42,Delivered,N/A,N
ATT0000092,ORD0000064,1,13-02-2026 21:20,Delivered,Handed To Customer,N
ATT0000093,ORD0000065,1,25-07-2026 20:58,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000094,ORD0000065,2,26-07-2026 20:58,Delivered,N/A,
ATT0000095,ORD0000066,1,15-07-2026 02:34,Delivered,N/A,
ATT0000096,ORD0000067,1,27-04-2026 19:49,Delivered,Handed To Customer,N
ATT0000097,ORD0000068,1,21-04-2026 20:23,Delivered,Delivered Successfully,
ATT0000098,ORD0000069,1,29-05-2026 21:46,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000099,ORD0000069,2,31-05-2026 21:46,Customer Not Available,"Cust  Nt  Avl,  Will  Retry  Next  Day",
ATT0000100,ORD0000069,3,02-06-2026 21:46,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000101,ORD0000069,4,04-06-2026 21:46,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000102,ORD0000071,1,23-05-2026 05:44,Delivered,Delivered Successfully,
ATT0000103,ORD0000072,1,04-07-2026 21:21,Delivered,N/A,
ATT0000104,ORD0000073,1,10-05-2026 22:22,Delivered,N/A,
ATT0000105,ORD0000074,1,15-05-2026 03:50,Delivered,"Delivered, Otp Verified",
ATT0000106,ORD0000075,1,09-04-2026 14:02,Delivered,Handed To Customer,
ATT0000107,ORD0000076,1,20-06-2026 11:14,Out of Delivery Area," Pin Not Fully Serviceable, Ofd Delay ",
ATT0000108,ORD0000076,2,21-06-2026 11:14,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000109,ORD0000077,1,29-05-2026 21:20,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000110,ORD0000077,2,30-05-2026 21:20,Delivered,Delivered Successfully,N
ATT0000111,ORD0000078,1,17-04-2026 22:27,Delivered,N/A,
ATT0000112,ORD0000079,1,21-05-2026 01:57,Delivered,Delivered Successfully,N
ATT0000113,ORD0000080,1,09-02-2026 23:03,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000114,ORD0000080,2,10-02-2026 23:03,Delivered,Delivered Successfully,
ATT0000115,ORD0000081,1,27-03-2026 19:45,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000116,ORD0000081,2,30-03-2026 19:45,Delivered,Delivered Successfully,
ATT0000117,ORD0000082,1,24-04-2026 14:25,Delivered,Delivered Successfully,N
ATT0000118,ORD0000083,1,10-03-2026 08:05,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000119,ORD0000083,2,11-03-2026 08:05,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000120,ORD0000083,3,13-03-2026 08:05,Delivered,N/A,N
ATT0000121,ORD0000084,1,20-02-2026 08:15,Delivered,"Delivered, Otp Verified",
ATT0000122,ORD0000085,1,23-04-2026 07:06,Delivered,N/A,
ATT0000123,ORD0000086,1,01-03-2026 22:07,Delivered,"Delivered, Otp Verified",
ATT0000124,ORD0000087,1,26-07-2026 23:50,Out of Delivery Area," Pin Not Fully Serviceable, Ofd Delay ",
ATT0000125,ORD0000087,2,27-07-2026 23:50,Delivered,Delivered Successfully,
ATT0000126,ORD0000088,1,19-03-2026 00:29,Delivered,N/A,N
ATT0000127,ORD0000089,1,26-04-2026 17:00,Delivered,"Delivered, Otp Verified",
ATT0000128,ORD0000090,1,08-03-2026 02:29,Delivered,"Delivered, Otp Verified",
ATT0000129,ORD0000091,1,12-04-2026 10:59,Delivered,N/A,N
ATT0000130,ORD0000092,1,18-02-2026 04:16,Delivered,N/A,
ATT0000131,ORD0000093,1,15-06-2026 06:57,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000132,ORD0000093,2,17-06-2026 06:57,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000133,ORD0000094,1,30-07-2026 18:39,Delivered,Handed To Customer,
ATT0000134,ORD0000095,1,28-02-2026 13:58,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000135,ORD0000095,2,02-03-2026 13:58,Delivered,"Delivered, Otp Verified",
ATT0000136,ORD0000096,1,20-05-2026 01:49,Delivered,"Delivered, Otp Verified",
ATT0000137,ORD0000097,1,15-07-2026 07:09,Delivered,Handed To Customer,
ATT0000138,ORD0000098,1,18-02-2026 13:58,Delivered,Delivered Successfully,
ATT0000139,ORD0000099,1,12-03-2026 04:02,Delivered,Handed To Customer,
ATT0000140,ORD0000100,1,15-05-2026 21:42,Delivered,N/A,N
ATT0000141,ORD0000101,1,07-07-2026 14:02,Delivered,N/A,
ATT0000142,ORD0000102,1,23-03-2026 21:50,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000143,ORD0000102,2,24-03-2026 21:50,Delivered,N/A,
ATT0000144,ORD0000103,1,22-06-2026 19:03,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000145,ORD0000103,2,23-06-2026 19:03,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000146,ORD0000103,3,26-06-2026 19:03,Delivered,"Delivered, Otp Verified",Y
ATT0000147,ORD0000104,1,10-07-2026 16:28,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000148,ORD0000107,1,08-07-2026 02:59,Delivered,Handed To Customer,
ATT0000149,ORD0000108,1,12-05-2026 04:58,Customer Not Available," Cust Nt Avl, Will Retry Next Day ",
ATT0000150,ORD0000108,2,13-05-2026 04:58,Delivered,Delivered Successfully,Y
ATT0000151,ORD0000109,1,28-05-2026 03:38,Delivered,"Delivered, Otp Verified",
ATT0000152,ORD0000110,1,16-05-2026 17:05,Delivered,N/A,N
ATT0000153,ORD0000113,1,13-03-2026 00:27,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000154,ORD0000113,2,14-03-2026 00:27,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000155,ORD0000113,3,16-03-2026 00:27,Delivered,Delivered Successfully,N
ATT0000156,ORD0000114,1,30-05-2026 01:14,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000157,ORD0000114,2,31-05-2026 01:14,Delivered,Handed To Customer,Y
ATT0000158,ORD0000115,1,07-07-2026 01:09,Customer Not Available," Cust Nt Avl, Will Retry Next Day ",
ATT0000159,ORD0000115,2,09-07-2026 01:09,Delivered,"Delivered, Otp Verified",
ATT0000160,ORD0000116,1,03-06-2026 20:35,Delivered,Handed To Customer,
ATT0000161,ORD0000117,1,10-07-2026 21:05,Delivered,N/A,
ATT0000162,ORD0000118,1,15-05-2026 02:35,Delivered,Delivered Successfully,N
ATT0000163,ORD0000119,1,19-02-2026 07:13,Delivered,"Delivered, Otp Verified",
ATT0000164,ORD0000120,1,15-05-2026 21:38,Delivered,"Delivered, Otp Verified",
ATT0000165,ORD0000121,1,03-05-2026 14:40,Delivered,"Delivered, Otp Verified",N
ATT0000166,ORD0000122,1,07-07-2026 12:52,Delivered,Handed To Customer,
ATT0000167,ORD0000123,1,12-06-2026 15:35,Delivered,Handed To Customer,
ATT0000168,ORD0000124,1,25-06-2026 06:10,Delivered,"Delivered, Otp Verified",
ATT0000169,ORD0000125,1,13-04-2026 09:00,Delivered,Delivered Successfully,N
ATT0000170,ORD0000126,1,27-02-2026 19:18,Delivered,"Delivered, Otp Verified",
ATT0000171,ORD0000127,1,04-06-2026 15:49,Delivered,"Delivered, Otp Verified",
ATT0000172,ORD0000128,1,01-06-2026 06:03,Delivered,N/A,
ATT0000173,ORD0000129,1,02-04-2026 17:44,Delivered,Handed To Customer,
ATT0000174,ORD0000130,1,22-06-2026 08:12,Delivered,Delivered Successfully,
ATT0000175,ORD0000131,1,23-03-2026 22:28,Delivered,Handed To Customer,
ATT0000176,ORD0000132,1,22-04-2026 14:04,Delivered,Delivered Successfully,N
ATT0000177,ORD0000134,1,14-02-2026 04:02,Refused - Changed Mind, Customer Said Dont Want It Anymore ,
ATT0000178,ORD0000134,2,15-02-2026 04:02,Delivered,Handed To Customer,
ATT0000179,ORD0000135,1,28-03-2026 23:45,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000180,ORD0000136,1,03-07-2026 16:59,Delivered,"Delivered, Otp Verified",
ATT0000181,ORD0000137,1,13-06-2026 13:58,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000182,ORD0000137,2,15-06-2026 13:58,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000183,ORD0000137,3,16-06-2026 13:58,Delivered,Delivered Successfully,N
ATT0000184,ORD0000138,1,25-02-2026 17:14,Delivered,"Delivered, Otp Verified",
ATT0000185,ORD0000139,1,21-02-2026 19:25,Delivered,Delivered Successfully,
ATT0000186,ORD0000141,1,13-07-2026 10:07,Delivered,"Delivered, Otp Verified",
ATT0000187,ORD0000142,1,10-03-2026 17:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000188,ORD0000142,2,11-03-2026 17:38,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000189,ORD0000142,3,12-03-2026 17:38,Delivered,Delivered Successfully,N
ATT0000190,ORD0000143,1,01-07-2026 20:52,Delivered,Handed To Customer,
ATT0000191,ORD0000144,1,12-05-2026 19:38,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000192,ORD0000144,2,13-05-2026 19:38,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000193,ORD0000144,3,16-05-2026 19:38,Delivered,Delivered Successfully,Y
ATT0000194,ORD0000146,1,23-05-2026 03:32,Delivered,"Delivered, Otp Verified",N
ATT0000195,ORD0000148,1,22-04-2026 18:21,Delivered,N/A,
ATT0000196,ORD0000149,1,27-05-2026 00:52,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000197,ORD0000149,2,30-05-2026 00:52,Delivered,Handed To Customer,N
ATT0000198,ORD0000150,1,15-04-2026 04:25,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000199,ORD0000150,2,16-04-2026 04:25,Delivered,Handed To Customer,
ATT0000200,ORD0000151,1,28-07-2026 20:05,Delivered,Delivered Successfully,
ATT0000201,ORD0000152,1,20-02-2026 21:58,Delivered,Delivered Successfully,Y
ATT0000202,ORD0000153,1,30-04-2026 01:08,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000203,ORD0000153,2,03-05-2026 01:08,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000204,ORD0000153,3,05-05-2026 01:08,Delivered,"Delivered, Otp Verified",
ATT0000205,ORD0000155,1,08-02-2026 09:15,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000206,ORD0000155,2,10-02-2026 09:15,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000207,ORD0000156,1,01-04-2026 19:28,Delivered,Delivered Successfully,
ATT0000208,ORD0000157,1,18-02-2026 22:41,Delivered,Handed To Customer,
ATT0000209,ORD0000158,1,09-07-2026 19:57,Delivered,N/A,
ATT0000210,ORD0000159,1,02-08-2026 12:20,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000211,ORD0000159,2,04-08-2026 12:20,Delivered,N/A,Y
ATT0000212,ORD0000160,1,18-04-2026 09:11,Customer Not Available,"Cust  Nt  Avl,  Will  Retry  Next  Day",
ATT0000213,ORD0000160,2,20-04-2026 09:11,Delivered,"Delivered, Otp Verified",
ATT0000214,ORD0000161,1,27-05-2026 20:14,Delivered,N/A,N
ATT0000215,ORD0000163,1,26-03-2026 14:42,Delivered,Delivered Successfully,Y
ATT0000216,ORD0000164,1,17-04-2026 03:50,Delivered,Handed To Customer,
ATT0000217,ORD0000165,1,25-02-2026 04:32,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000218,ORD0000166,1,18-04-2026 00:16,Delivered,"Delivered, Otp Verified",N
ATT0000219,ORD0000167,1,03-06-2026 21:52,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000220,ORD0000168,1,14-07-2026 19:22,Delivered,"Delivered, Otp Verified",
ATT0000221,ORD0000169,1,17-06-2026 06:45,Delivered,Handed To Customer,
ATT0000222,ORD0000170,1,23-04-2026 11:35,Delivered,Handed To Customer,
ATT0000223,ORD0000171,1,26-05-2026 23:22,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000224,ORD0000171,2,29-05-2026 23:22,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000225,ORD0000171,3,31-05-2026 23:22,Delivered,Delivered Successfully,Y
ATT0000226,ORD0000173,1,01-06-2026 09:03,Delivered,"Delivered, Otp Verified",
ATT0000227,ORD0000174,1,02-07-2026 14:23,Delivered,N/A,
ATT0000228,ORD0000175,1,18-07-2026 13:30,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000229,ORD0000175,2,19-07-2026 13:30,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000230,ORD0000175,3,20-07-2026 13:30,Delivered,Delivered Successfully,
ATT0000231,ORD0000176,1,25-05-2026 22:56,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000232,ORD0000176,2,26-05-2026 22:56,Delivered,Delivered Successfully,
ATT0000233,ORD0000177,1,16-04-2026 21:00,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000234,ORD0000178,1,11-04-2026 20:20,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000235,ORD0000178,2,14-04-2026 20:20,Delivered,Delivered Successfully,
ATT0000236,ORD0000179,1,29-05-2026 11:54,Delivered,N/A,Y
ATT0000237,ORD0000180,1,06-04-2026 00:59,Delivered,Delivered Successfully,
ATT0000238,ORD0000181,1,17-04-2026 10:55,Delivered,Delivered Successfully,Y
ATT0000239,ORD0000182,1,11-02-2026 09:30,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000240,ORD0000182,2,13-02-2026 09:30,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000241,ORD0000182,3,15-02-2026 09:30,Out of Delivery Area,"Pin Not Fully Serviceable, Ofd Delay",
ATT0000242,ORD0000183,1,17-04-2026 07:41,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000243,ORD0000183,2,18-04-2026 07:41,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000244,ORD0000183,3,19-04-2026 07:41,Refused - COD Amount Not Ready," Customer Not Ready With Cash, Asked To Reattempt ",
ATT0000245,ORD0000184,1,28-04-2026 23:04,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000246,ORD0000184,2,29-04-2026 23:04,Delivered,N/A,N
ATT0000247,ORD0000185,1,23-02-2026 10:11,Delivered,Handed To Customer,
ATT0000248,ORD0000187,1,25-07-2026 23:14,Delivered,Delivered Successfully,N
ATT0000249,ORD0000188,1,08-03-2026 17:50,Delivered,Delivered Successfully,Y
ATT0000250,ORD0000189,1,25-06-2026 09:02,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000251,ORD0000189,2,28-06-2026 09:02,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000252,ORD0000189,3,01-07-2026 09:02,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000253,ORD0000190,1,12-03-2026 18:07,Delivered,N/A,
ATT0000254,ORD0000191,1,26-03-2026 07:09,Delivered,Delivered Successfully,Y
ATT0000255,ORD0000192,1,02-03-2026 02:31,Delivered,N/A,Y
ATT0000256,ORD0000193,1,09-05-2026 04:34,Delivered,"Delivered, Otp Verified",
ATT0000257,ORD0000194,1,13-03-2026 01:07,Delivered,Handed To Customer,N
ATT0000258,ORD0000195,1,29-04-2026 09:27,Delivered,Handed To Customer,
ATT0000259,ORD0000196,1,15-06-2026 03:11,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000260,ORD0000196,2,18-06-2026 03:11,Rescheduled by Customer,Cust  Asked  To  Deliver  On  Weekend,
ATT0000261,ORD0000196,3,19-06-2026 03:11,Delivered,"Delivered, Otp Verified",Y
ATT0000262,ORD0000197,1,02-03-2026 13:30,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000263,ORD0000197,2,03-03-2026 13:30,Rescheduled by Customer,Cust Asked To Deliver On Weekend,
ATT0000264,ORD0000197,3,04-03-2026 13:30,Customer Not Available,"Cust  Nt  Avl,  Will  Retry  Next  Day",
ATT0000265,ORD0000197,4,07-03-2026 13:30,Delivered,N/A,
ATT0000266,ORD0000198,1,09-07-2026 03:03,Delivered,N/A,
ATT0000267,ORD0000199,1,28-04-2026 08:25,Delivered,Delivered Successfully,
ATT0000268,ORD0000200,1,17-04-2026 07:56,Refused - COD Amount Not Ready,"Customer Not Ready With Cash, Asked To Reattempt",
ATT0000269,ORD0000200,2,19-04-2026 07:56,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000270,ORD0000200,3,20-04-2026 07:56,Delivered,"Delivered, Otp Verified",N
ATT0000271,ORD0000201,1,24-06-2026 21:33,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000272,ORD0000201,2,25-06-2026 21:33,Delivered,Handed To Customer,
ATT0000273,ORD0000202,1,11-07-2026 14:55,Refused - Changed Mind,Customer Said Dont Want It Anymore,
ATT0000274,ORD0000202,2,12-07-2026 14:55,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000275,ORD0000202,3,14-07-2026 14:55,Delivered,Handed To Customer,
ATT0000276,ORD0000203,1,04-07-2026 22:38,Customer Not Available,"Cust Nt Avl, Will Retry Next Day",
ATT0000277,ORD0000203,2,07-07-2026 22:38,Delivered,N/A,Y
ATT0000278,ORD0000204,1,21-02-2026 21:06,Refused - COD Amount Not Ready,"Customer  Not  Ready  With  Cash,  Asked  To  Reattempt",
ATT0000279,ORD0000204,2,23-02-2026 21:06,Address Not Found,Wrong Addr / No Such Person At Location,
ATT0000280,ORD0000204,3,26-02-2026 21:06,Delivered,Handed To Customer,Y
ATT0000281,ORD0000205,1,07-07-2026 11:21,Delivered,"Delivered, Otp Verified",N
ATT0000282,ORD0000206,1,18-07-2026 16:27,Delivered,Delivered Successfully,N
ATT0000283,ORD0000207,1,07-06-2026 09:25,Delivered,N/A,Y
ATT0000284,ORD0000208,1,12-04-2026 19:47,Refused - Changed Mind,Customer Said Dont Want It Anymore,
